player,team
Ian Happ#,CHC
Kyle Tucker*,CHC
Seiya Suzuki,CHC
Pete Crow-Armstrong*,CHC
Matt Shaw,CHC
Dansby Swanson,CHC
Shohei Ohtani*,LAD
Michael Busch*,CHC
Tommy Edman#,LAD
Teoscar Hernández,LAD
Ketel Marte#,ARI
Max Muncy*,LAD
Bryan Reynolds#,PIT
Xavier Edwards#,MIA
Lourdes Gurriel Jr.,ARI
Andy Pages,LAD
Bo Bichette,TOR
Alex Bregman,BOS
Jonah Bride,MIA
Lawrence Butler*,ATH
Corbin Carroll*,ARI
Colton Cowser*,BAL
Rafael Devers*,BOS
Jarren Duran*,BOS
Andrés Giménez*,TOR
Vladimir Guerrero Jr.,TOR
Otto López,MIA
Cedric Mullins*,BAL
Josh Naylor*,ARI
Brent Rooker,ATH
Adley Rutschman#,BAL
Anthony Santander#,TOR
JJ Bleday*,ATH
Triston Casas*,BOS
Oneil Cruz*,PIT
Player,Team
Derek Hill,MIA
Ryan O'Hearn*,BAL
Geraldo Perdomo#,ARI
Víctor Robles,SEA
Will Smith,LAD
Eugenio Suárez,ARI
Fernando Tatis Jr.,SDP
Ozzie Albies#,ATL
Miguel Amaya,CHC
Luis Arráez*,SDP
Alec Bohm,PHI
Kristian Campbell,BOS
Michael Conforto*,LAD
Jackson Holliday*,BAL
Isiah Kiner-Falefa,PIT
Wyatt Langford,TEX
Matt Olson*,ATL
Marcell Ozuna,ATL
Jurickson Profar#,ATL
Austin Riley,ATL
Julio Rodríguez,SEA
Marcus Semien,TEX
Tyler Soderstrom*,ATH
Kyle Stowers*,MIA
Wilyer Abreu*,BOS
Randy Arozarena,SEA
Joey Bart,PIT
Xander Bogaerts,SDP
Jackson Chourio,MIL
Jake Cronenworth*,SDP
Adolis García,TEX
Michael Harris II*,ATL
Jackson Merrill*,SDP
Tommy Pham,PIT
Cal Raleigh#,SEA
Player,Team
Kyle Schwarber*,PHI
Jacob Wilson,ATH
CJ Abrams*,WSN
Cody Bellinger*,NYY
Jake Burger,TEX
Jazz Chisholm Jr.*,NYY
Willson Contreras,STL
Yandy Díaz,TBR
Adam Frazier*,PIT
Paul Goldschmidt,NYY
Riley Greene*,DET
Bryce Harper*,PHI
Jonathan India,KCR
Aaron Judge,NYY
Steven Kwan*,CLE
Manny Machado,SDP
Kyle Manzardo*,CLE
Lars Nootbaar*,STL
Miguel Rojas,LAD
Carlos Santana#,CLE
Lane Thomas,CLE
Spencer Torkelson,DET
Anthony Volpe,NYY
Jordan Westburg,BAL
Bobby Witt Jr.,KCR
Miguel Andujar,ATH
Nolan Arenado,STL
Josh Bell#,WSN
Nick Castellanos,PHI
J.P. Crawford*,SEA
Brendan Donovan*,STL
Brenton Doyle,COL
Sal Frelick*,MIL
Ke'Bryan Hayes,PIT
Nico Hoerner,CHC
Player,Team
Jarred Kelenic*,ATL
Francisco Lindor#,NYM
Brandon Lowe*,TBR
Nathaniel Lowe*,WSN
Brandon Marsh*,PHI
Andrew McCutchen,PIT
Matt McLain,CIN
Ryan Mountcastle,BAL
Tyler O'Neill,BAL
Joey Ortiz,MIL
Endy Rodríguez#,PIT
Juan Soto*,NYM
George Springer,TOR
Bryson Stott*,PHI
Brice Turang*,MIL
Ramón Urías,BAL
Will Wagner*,TOR
Matt Wallner*,MIN
Connor Wong,BOS
James Wood*,WSN
Willy Adames,SFG
Pete Alonso,NYM
Jose Altuve,HOU
Yordan Alvarez*,HOU
Drake Baldwin*,ATL
Andrew Benintendi*,CHW
Alec Burleson*,STL
Byron Buxton,MIN
Jeimer Candelario#,CIN
Matt Chapman,SFG
William Contreras,MIL
Carlos Correa,MIN
Dylan Crews,WSN
Elly De La Cruz#,CIN
Christian Encarnacion-Strand,CIN
Player,Team
Wilmer Flores,SFG
Freddie Freeman*,LAD
Hunter Goodman,COL
Colt Keith*,DET
Alejandro Kirk,TOR
Shea Langeliers,ATH
Jung Hoo Lee*,SFG
Michael Massey*,KCR
Ryan McMahon*,COL
Max Muncy,ATH
Dane Myers,MIA
Bo Naylor*,CLE
Brandon Nimmo*,NYM
Isaac Paredes,HOU
Vinnie Pasquantino*,KCR
Joc Pederson*,TEX
Salvador Perez,KCR
Ceddanne Rafaela,BOS
Heliot Ramos,SFG
Luis Rengifo#,LAA
Luis Robert Jr.,CHW
Alan Roden*,TOR
Nolan Schanuel*,LAA
Victor Scott II*,STL
Corey Seager*,TEX
Jorge Soler,LAA
Trevor Story,BOS
Michael Toglia#,COL
Ezequiel Tovar,COL
Mike Trout,LAA
Miguel Vargas,CHW
Andrew Vaughn,CHW
Mark Vientos,NYM
Christian Walker,HOU
Taylor Ward,LAA
Player,Team
Austin Wells*,NYY
Christian Yelich*,MIL
Jon Berti,CHC
Ryan Bliss,SEA
Willi Castro#,MIN
Jonny DeLuca,TBR
Jasson Domínguez#,NYY
Ty France,MIN
Trevor Larnach*,MIN
Gavin Lux*,CIN
Zach McKinstry*,DET
Garrett Mitchell*,MIL
Jeremy Peña,HOU
Jorge Polanco#,SEA
Brayan Rocchio#,CLE
Keibert Ruiz#,WSN
Gavin Sheets*,SDP
Gio Urshela,ATH
Eric Wagaman,MIA
Taylor Walls#,TBR
Masyn Winn,STL
Jacob Young,WSN
Orlando Arcia,ATL
Jordan Beck,COL
Junior Caminero,TBR
Griffin Conine*,MIA
Paul DeJong,WSN
Tyler Fitzgerald,SFG
Nick Fortes,MIA
Maikel Garcia,KCR
Jason Heyward*,SDP
Max Kepler*,PHI
Manuel Margot,DET
Nick Martini*,COL
José Miranda,MIN
Player,Team
Gabriel Moreno,ARI
Jack Suwinski*,PIT
Trey Sweeney*,DET
LaMonte Wade Jr.*,SFG
Gabriel Arias,CLE
Mookie Betts,LAD
Kerry Carpenter*,DET
TJ Friedl*,CIN
Mitch Garver,SEA
Kiké Hernández,LAD
Kyle Isbel*,KCR
Nolan Jones*,CLE
Ryan Kreidler,DET
Jake McCarthy*,ARI
Yoán Moncada#,LAA
J.T. Realmuto,PHI
Edmundo Sosa,PHI
Leody Taveras#,TEX
Alek Thomas*,ARI
Jacob Amaya,CHW
Jonathan Aranda*,TBR
Kris Bryant,COL
Oswaldo Cabrera#,NYY
Ernie Clement,TOR
Yainer Diaz,HOU
Kyle Farmer,COL
Luis García Jr.*,WSN
Randal Grichuk,ARI
Iván Herrera,STL
Rhys Hoskins,MIL
Ryan Jeffers,MIN
Matt Mervis*,MIA
Logan O'Hoppe,LAA
José Ramírez#,CLE
Hunter Renfroe,KCR
Player,Team
Jake Rogers,DET
Pavin Smith*,ARI
Lenyn Sosa,CHW
Tyrone Taylor,NYM
Luis Torrens,NYM
Gleyber Torres,DET
Jordan Walker,STL
Tim Anderson,LAA
Harrison Bader,MIN
Patrick Bailey#,SFG
Brooks Baldwin#,CHW
Cavan Biggio*,KCR
Vinny Capra,MIL
Elias Díaz,SDP
Ezequiel Durán,TEX
Santiago Espinal,CIN
Jake Fraley*,CIN
Trent Grisham*,NYY
David Hamilton*,BOS
Kyle Higashioka,TEX
Andy Ibáñez,DET
Danny Jansen,TBR
Josh Jung,TEX
Carson Kelly,CHC
Nathan Lukes*,TOR
Martín Maldonado,SDP
Nick Maton*,CHW
Luis Matos,SFG
Jake Meyers,HOU
Kameron Misner*,TBR
Dylan Moore,SEA
Christopher Morel,TBR
Luke Raley*,SEA
Ben Rice*,NYY
Brendan Rodgers,HOU
Player,Team
Daniel Schneemann*,CLE
Cam Smith,HOU
Donovan Solano,SEA
Spencer Steer,CIN
Matt Thaiss*,CHW
Jared Triolo,PIT
Jesse Winker*,NYM
Jake Bauers*,MIL
Dillon Dingler,DET
Jonah Heim#,TEX
José Herrera#,ARI
Liam Hicks*,MIA
Jorge Mateo,BAL
Curtis Mead,TBR
MJ Melendez*,KCR
Kevin Newman,LAA
Kyren Paris,LAA
Graham Pauley*,MIA
Rowdy Tellez*,SEA
Jose Trevino,CIN
Luisangel Acuña,NYM
Jo Adell,LAA
Brett Baty*,NYM
Seth Brown*,ATH
José Caballero,TBR
Oliver Dunn*,MIL
Freddy Fermin,KCR
Yuli Gurriel,SDP
Heston Kjerstad*,BAL
Rafael Marchán#,PHI
Starling Marte,NYM
Jhonkensy Noel,CLE
Pablo Reyes,NYY
Amed Rosario,WSN
Gary Sánchez,BAL
Player,Team
Javier Sanoja,MIA
Justin Turner,CHC
Trea Turner,PHI
Mike Yastrzemski*,SFG
Nick Allen,ATL
Ji Hwan Bae*,PIT
Javier Báez,DET
Isaac Collins#,MIL
Travis d'Arnaud,LAA
Nolan Gorman*,STL
Sam Huff,SFG
Korey Lee,CHW
Brandon Lockridge,SDP
Jake Mangum#,TBR
Chas McCormick,HOU
Carlos Narváez,BOS
Pedro Pagés,STL
Kevin Pillar,TEX
Johan Rojas,PHI
Ben Rortvedt*,TBR
Davis Schneider,TOR
Austin Slater,CHW
Jacob Stallings,COL
Michael A. Taylor,CHW
Luis Urías,ATH
Enmanuel Valdéz*,PIT
Austin Barnes,LAD
Victor Caratini#,HOU
Zach Dezenzo,HOU
Mauricio Dubón,HOU
Blake Dunn,CIN
Mickey Gasper#,MIN
Nick Gonzales,PIT
Tyler Heineman#,TOR
Travis Jankowski*,CHW
Player,Team
Jonathan Ornelas,TEX
Jhonny Pereda,ATH
Jose Siri,NYM
Josh Smith*,TEX
Myles Straw,TOR
Christian Vázquez,MIN
Riley Adams,WSN
Kody Clemens*,PHI
Bryan De La Cruz,ATL
J.C. Escarra*,NYY
Tyler Freeman,COL
Eric Haase,MIL
Garrett Hampson,ARI
Jacob Hurtubise*,CIN
Jose Iglesias,SDP
Josh Lowe*,TBR
Mickey Moniak*,COL
Oswald Peraza,NYY
Casey Schmitt,SFG
Max Schuemann,ATH
Chadwick Tromp,ATL
Gage Workman*,CHC
Austin Wynns,CIN
Dairon Blanco,KCR
Sean Bouchard,COL
Mark Canha,KCR
Romy González,BOS
Ramón Laureano,BAL
Miles Mastrobuoni*,SEA
Ryne Nelson,ARI
Hayden Senger,NYM
José Tena*,WSN
Vidal Bruján#,CHC
Edouard Julien*,MIN
DaShawn Keirsey Jr.*,MIN
Player,Team
Joe Mantiply,ARI
Justin Martínez,ARI
A.J. Puk*,ARI
Michael Siani*,STL
Ryan Thompson,ARI
Eli White,ATL
MLB Average,
